Unnamed: 0,track,artists,genres,popularity
1,Señorita,Shawn Mendes,canadian pop,79
2,China,Anuel AA,reggaeton flow,92
3,Boyfriend,Ariana Grande,dance pop,85
4,Beautiful people,Ed Sheeran,pop,86
5,Goodbyes,Post Malone,dfw rap,94
6,I don't care,Ed Sheeran,pop,84
7,Ransom,Lil Tecca,trap music,92
8,How do you sleep?,Sam Smith,pop,90
9,Old town road,Lil Nas X,country rap,87
10,Bad guy,Billie Eilish,electropop,95
11,Callaita,Bad Bunny,reggaeton,93
12,Loco contigo,DJ Snake,dance pop,86
13,Someone you loved,Lewis Capaldi,pop,88
14,Otro trago,Sech,panamanian pop,87
15,Money in the grave,Drake,canadian hip hop,92
16,No guidance,Chris Brown,dance pop,82
17,La canciï¿½n,J Balvin,latin,90
18,Sunflower,Post Malone,dfw rap,91
19,Lalala,Y2K,canadian hip hop,88
20,Truth hurts,Lizzo,escape room,91
21,Piece of your heart,MEDUZA,pop house,91
22,Panini,Lil Nas X,country rap,91
23,No me conoce,Jhay Cortez,reggaeton flow,83
24,Soltera,Lunay,latin,91
25,Bad guy,Billie Eilish,electropop,89
26,If i can't have you,Shawn Mendes,canadian pop,70
27,Dance monkey,Tones and I,australian pop,83
28,It's you,Ali Gatie,canadian hip hop,89
29,Con calma,Daddy Yankee,latin,91
30,Que pretendes,J Balvin,latin,89
31,Takeaway,The Chainsmokers,edm,84
32,7 rings,Ariana Grande,dance pop,89
33,0.958333333333333,Maluma,reggaeton,89
34,The london,Young Thug,atl hip hop,89
35,Never really over,Katy Perry,dance pop,89
36,Summer days,Martin Garrix,big room,89
37,Otro trago,Sech,panamanian pop,91
38,Antisocial,Ed Sheeran,pop,87
39,Sucker,Jonas Brothers,boy band,80
40,"Fuck, i'm lonely",Lauv,dance pop,78
41,Higher love,Kygo,edm,88
42,You need to calm down,Taylor Swift,dance pop,90
43,Shallow,Lady Gaga,dance pop,87
44,Talk,Khalid,pop,84
45,Con altura,ROSALï¿½A,r&b en espanol,88
46,One thing right,Marshmello,brostep,88
47,Te robarï¿½,Nicky Jam,latin,88
48,Happier,Marshmello,brostep,88
49,Call you mine,The Chainsmokers,edm,88
50,Cross me,Ed Sheeran,pop,82
